inning,estimated_woba_using_speedangle,outs_when_up,Swing
4,1.677,0,0
3,0.69,2,
4,0.234,1,1
3,0.026,1,0
4,0.507,0,0
3,0.213,0,1
4,0.357,0,0
3,0.033,2,
4,0.378,1,0
4,0.152,0,0
4,0.185,2,
3,0.187,1,0
3,0.393,0,0
3,0.107,2,
3,0.003,0,0
2,0.018,1,1
3,0.324,1,0
3,0.005,0,0
2,0.014,0,0
2,0.868,1,0
2,0.031,2,
2,0.896,1,0
2,0.082,0,0
2,0.247,0,0
1,0.118,1,0
1,0.012,1,0
1,0.216,0,0
6,0.412,2,
6,0.126,2,
7,0.332,2,
7,0.049,0,0
6,0.333,0,1
6,0.044,2,
6,0.323,1,0
7,0.429,1,1
6,0.01,1,0
4,0.127,1,1
5,0.123,2,
4,0.003,1,1
5,0.124,2,
4,0.041,2,
5,0.021,2,
4,0.101,2,
5,0.071,0,0
5,0.159,2,
4,0.229,2,
4,0.232,2,
5,0.818,1,0
5,0.012,1,0
3,0.395,2,
6,0.118,0,0
4,0.01,0,0
4,0,2,
5,0.057,2,
5,0.866,1,1
4,0.038,1,0
3,0.082,0,0
3,0.507,2,
3,0.734,2,
4,0.054,1,0
4,0.031,1,0
3,0.152,1,0
3,0.064,1,0
3,0.469,0,0
2,0.44,2,
2,0.154,2,
2,0,2,
3,0.106,1,0
2,0.088,1,0
2,0.018,0,0
2,0.075,1,0
2,0.111,1,0
1,0.232,2,
2,0.208,0,0
2,0.396,1,0
1,0.117,2,
1,0.423,2,
1,0.824,1,0
1,0.016,1,0
1,0.034,1,0
1,0.049,0,0
6,0.148,2,
7,0.101,1,1
6,0.465,1,1
6,0.231,2,
6,0.323,2,
5,0.515,1,0
4,0.309,2,
5,0.778,1,0
4,0.249,2,
3,0.212,1,0
4,0.01,1,0
4,0.008,2,
2,0.472,2,
2,0.014,1,0
4,0.051,2,
4,0.11,0,1
3,0.012,1,0
3,0.071,0,0
2,0.014,1,0
2,0.059,1,1
2,0.224,0,0
1,0.563,2,
2,0.09,0,0
1,0.144,0,0
6,0.574,0,0
6,0.005,2,
5,0.075,2,
5,0.009,1,0
5,0.115,0,1
4,0.402,2,
5,0.209,1,0
5,0.051,0,1
4,0.03,1,1
5,0.213,1,0
3,0.323,0,0
3,0.193,1,0
3,0.031,0,0
3,0.445,0,0
3,0.37,1,0
3,0.106,0,0
2,0.024,1,0
2,0.022,0,1
2,0.164,0,1
3,0.612,0,0
2,0.01,1,0
2,0.434,0,0
1,0.498,2,
1,0.208,2,
1,0.168,2,
1,0.014,2,
1,0.536,0,0
1,0.383,0,0
6,0.484,2,
5,1.944,1,0
6,0.329,1,1
5,0.033,2,
4,0.041,2,
6,0.336,2,
6,0.198,0,1
